,name,description,careerPageName,type,state,workplaceType
296,Analista de Operações Sênior | DF,"Como colaborador da&nbsp;Cateno, você atuará na&nbsp;Gerência de Produtos Arranjo Ourocard,&nbsp;contribuindo na melhoria de produtos e serviços de arranjos de pagamento, com foco no aumento da eficiência operacional e melhoria no atendimento aos clientes.Na Cateno, trabalhamos com ética, respeito e proximidade em todas as relações, compromisso com transparência e atitude de dono. Temos como foco encantar o cliente, crença e paixão pelo nosso negócio. Buscamos eficiência em tudo o que fazemos e inovação nas soluções que oferecemos. Sustentabilidade no desenvolvimento econômico com foco na consciência social.Gostou do desafio? Tem experiência na área? Então venha fazer parte do nosso time, onde buscamos diariamente inovar os serviços e produtos financeiros relacionados à indústria de meios de pagamentos.Responsabilidades e atribuiçõesO que você fará no dia a dia:Gestão de Billing de Bandeiras;Controlar, acompanhar e analisar os indicadores operacionais;Avaliar e propor soluções para melhorias da eficiência operacional do produto Ourocard;Realizar interface com stakeholders do negócio;Acompanhar projetos que abranjam metodologias ágeis;Atuar na prospecção de melhoria contínua de produtos em arranjos de pagamentos;Manusear planilhas de banco de dados;Requisitos e qualificaçõesO que buscamos?Graduação completa em Administração, Contabilidade, Controladoria e afins;Experiência com gestão de custos de Bandeiras;Experiência em manipulação de planilhas/bancos de dados;Conhecimento na análise de dados de pesquisas e indicadores;Conhecimento do modelo de 4 pontas de arranjo de pagamentos;Excelente comunicação oral e escrita;Perfil analítico e proativo;Facilidade em atuar com equipes multidisciplinares;Disponibilidade para viagens nacionais eventuais;Pacote Office intermediário;Disponibilidade para trabalho presencial em Brasília;&nbsp;&nbsp;Diferenciais:&nbsp;Conhecimento/experiência acerca das linhas de despesas devidas por emissores de meios de pagamento para bandeiras de cartão de crédito/débito;Ter atuado em companhias de meios de pagamento no processo de conciliação despesas de Bandeiras;Experiência na condução de projetos em metodologias ágeis, como&nbsp;Scrum, Kanban, SMART,&nbsp;Design Thinking, dentre outras;Pós Graduação/MBA completa ou em andamento;Inglês Intermediário.Informações adicionaisO que oferecemos?&nbsp;💰 Salário compatível com o mercado📈 PPR🥗 Vale Alimentação/Refeição🩺 Assistência Médica😁 Assistência Odontológica💚 Seguro de Vida👴🏾 Previdência Privada💪🏼 Convênio com Gympass👶 Empresa cidadã (Licença-maternidade / paternidade estendidas + Auxílio-crêche)👩‍🎓 Subsídio Educação🚌 Vale Transporte/Estacionamento*&nbsp;E muito mais!&nbsp;No momento, todo nosso time está trabalhando no modelo híbrido, em nossas unidades de São Paulo e Brasília e Rio de Janeiro.&nbsp;Esta posição é para trabalhar na nossa unidade de&nbsp;Brasília.&nbsp;Etapas do nosso processo:✍️ Inscrição na plataforma Gupy💻 Testes💻 Entrevista com o Time de Atração e Seleção e com Gestor da Área🥇 Feedbacks e/ou contratação&nbsp;&nbsp;Possuímos uma cultura que se importa com a diversidade, as diferenças de quaisquer naturezas e o potencial das pessoas. Profissionais +seniores são bem-vindos, valorizamos a sua experiência de vida!&nbsp;#SomosTodosCateno",Cateno,CLT,Distrito Federal,on-site
304,Analista de Sustentabilidade e Meio Ambiente,"A área de sustentabilidade da HIDROBR atua de forma transversal nas cinco temáticas da empresa: Geotecnia, Recursos Hídricos, Saneamento, Meio Ambiente e Geoquímica.Além disso esta área desenvolve projetos específicos englobando os seguintes serviços:- Inventário de gases de efeito estufa;-&nbsp;Projetos e estudos socioambientais;- Geoquímica e áreas contaminadas;- Monitoramentos ambientais;- Avaliação de impactos socioambientais;- Relatórios de sustentabilidade (GRI);- Consultoria em sustentabilidade corporativa, dentre outros.Responsabilidades e atribuiçõesApoiar no desenvolvimento de projetos da áreaDesenvolver, organizar e sistematizar banco de dados;Elaboração de estudos e projetos;Apoio nas atividades de gestão de projetos e contratos;Desenvolvimento de mapas temáticos;Elaboração de análises técnica;Desenvolvimento e participação em atividades gerais da área de sustentabilidade.Requisitos e qualificaçõesFormação em engenharia ambiental, engenharia florestal, gestão ambiental, biologia, agronomia, geografia, ciências sociais, e outras áreas afins a sustentabilidade;Conhecimento de ferramentas GIS (QGIS e/ou ArcGIS);Interesse pelo tema da sustentabilidade e os seus desafios;Capacidade de trabalhar em equipe de forma colaborativa;Informações adicionaisDisponibilidade para trabalhar em formato híbrido ou presencial;Disponibilidade para trabalhar 40 horas semanais;Disponibilidade para a realização de trabalhos de campo, viagens e visitas técnicas em cliente;",HIDROBR,CLT,Minas Gerais,on-site
315,Analista de Suporte Técnico em Telecom,"Trabalho Home officeSalário R$ 3.045,00;Vale transporte;Vale alimentação;Convênio médicoATIVIDADESSuporte técnico por telefone;Suporte em telefonia IP;Administração de servidores Linux;A empresa tem um ótimo ambiente de trabalho e oferece oportunidades de crescimento e desenvolvimento na equipe técnica de suporte .Responsabilidades e atribuiçõesSuporte técnico ao Usuário Final;Tecnologia VoIPAdministração de Servidores LinuxRequisitos e qualificaçõesRequisitos:Conhecimento de Redes de ComputadoresConhecimento em tecnologia VoIPConhecimento em Servidores LinuxDiferencial:Servidores FreeswitchProtocolo SIPOpenSIPSBanco de dados MySQLSistema STFCInformações adicionaisUm ótimo ambiente de trabalho.Oportunidades de crescimento e desenvolvimento na equipe técnica de suporte.",Spark Gestão de Talentos,CLT,Santa Catarina,remote
318,Analista de sustentação DBA Sênior,"Atuação como Analista de Sustentação de banco de dados&nbsp;do time de tecnologia&nbsp;na qual participará de projetos de tecnologia voltados para banco de dados, bem como atendimento de tickets diariamente, monitoramento de administração de banco de dados.&nbsp;&nbsp;Responsabilidades e atribuiçõesAtendimento a chamados de nivel 2 e 3;&nbsp;Monitoramento das bases de dados;Tranformação de dados usando ETL;&nbsp;&nbsp;backup e restore de dados;&nbsp;&nbsp;monitoramento de backup;&nbsp;Implantação de novas soluções/projetos;&nbsp;Aplicação de gmud.Requisitos e qualificaçõesConhecimento obrigatorios:Administração de banco de dados Oracle 10g,11g,12c, 18c,19c.Administração de ambiente em cluster oracle RACAdministração de replicação Standby.Criação/Administração de tabelas particionada.Criação/Administração em compressão de dados.Monitoramento e geração de relatório de performance.Administração de backup fisico e logicos.Desenvolver e manter procedure, function e package em PL/SQL.Performance/Tunning de querys.Administração de banco de dados Microsft SQLSERVER .Experiencias desejaveis:Conhecimento em ambiente virtualizado.Conhecimento em ambiente Linux,Unix e Windows.Conhecimento em redes TCP/IP.Conhecimento em Infraestrutura basica (Storage, SAN, ferramenta de backup.)Conhecimento de ITIL.Conhecimento em versionamento de codigo (git/svn)Conhecimento em administração de banco de dados Mysql/MariaDB.Conhecimento em administração de banco de dados PostgreSQL.Shell scripts.Possuir boa logica de desenvolvimento.Facilidade de aprender a regra de negócio da empresa.Conhecimento ferramenta de ETL.Conhecimento de API/microserviço.Conhecimento básica de arquitetura em nuvem.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lingua: Inglês intermediário leitura/escrita.Informações adicionaisPerfil comportamental:Capacidade de lidar com problemas complexos de maneira estruturada;Boa comunicação oral e escrita, ser um bom ouvinte e possuir capacidade de abstração;&nbsp;Capacidade de trabalhar em atendimento a chamados e atividades de mais de um projeto ao mesmo tempo, realizando gestão das atividades e divisão de trabalho entre eles de acordo com a priorização feita pela gestor;Capacidade de trabalhar em um ambiente em transformação;Capacidade de interagir com fornecedores para entendimento e resolução de problemas de maneira conjunta;Capacidade de trabalhar em regime Home-Office quando necessário;Possibilidade de trabalhar no regime de hora extra quando necessário;Orientação por metas e proatividade com grande foco nos resultados;Habilidades de comunicação com time técnico e áreas de negócio;Raciocínio lógico, estruturado e orientado a resolução de problemas;Organização e gestão das demandas sob sua responsabilidade para atendimento a cronogramas acordados;Capacidade de trabalho em equipe;Curioso e proativo.",Ewave do Brasil,CLT,Paraná,on-site
319,Analista de sustentação DBA Junior ,"Atuação como Analista de Sustentação de banco de dados&nbsp;do time de tecnologia&nbsp;na qual participará de projetos de tecnologia voltados para banco de dados, bem como atendimento de tickets diariamente, monitoramento de administração de banco de dados.&nbsp;&nbsp;Responsabilidades e atribuiçõesAtendimento a chamados de nivel 1 e 2;&nbsp;Monitoramento das bases de dados;Tranformação de dados usando ETL;&nbsp;&nbsp;backup e restore de dados;&nbsp;&nbsp;monitoramento de backup;&nbsp;Implantação de novas soluções/projetos;&nbsp;Aplicação de gmud.Requisitos e qualificaçõesConhecimento Obrigatórios:Administração de banco de dados Oracle 10g,11g,12c, 18c,19c.Administração de ambiente em cluster oracle RACAdministração de tabelas particionada.Administração em compressão de dados.Apoio em processos de monitoramento e geração de relatório de performance.Administração de backup fisico e logicos.Manutenção procedure, function e package em PL/SQL.Administração de banco de dados Microsft SQLSERVER .Administração de banco de dados Microsft PostgreSql.Experiência desejáveis:Conhecimento em ambiente virtualizado.Conhecimento em ambiente Linux,Unix e Windows.Conhecimento em redes TCP/IP.Conhecimento em Infraestrutura basica (Storage, SAN, ferramenta de backup.)Conhecimento de ITIL.Conhecimento em versionamento de codigo (git/svn)Conhecimento em administração de banco de dados Mysql/MariaDB.Conhecimento em administração de banco de dados PostgreSQL.Shell scripts.Possuir boa logica de desenvolvimento.Facilidade de aprender a regra de negócio da empresa.Conhecimento ferramenta de ETL .&nbsp;Lingua: Inglês intermediário leitura/escrita.Informações adicionaisPerfil comportamental do Candidato:Capacidade de lidar com problemas complexos de maneira estruturada;Boa comunicação oral e escrita, ser um bom ouvinte e possuir capacidade de abstração;&nbsp;Capacidade de trabalhar em atendimento a chamados e atividades de mais de um projeto ao mesmo tempo, realizando gestão das atividades e divisão de trabalho entre eles de acordo com a priorização feita pela gestor;Capacidade de trabalhar em um ambiente em transformação;Capacidade de interagir com fornecedores para entendimento e resolução de problemas de maneira conjunta;Capacidade de trabalhar em regime Home-Office quando necessário;Possibilidade de trabalhar no regime de hora extra quando necessário;Orientação por metas e proatividade com grande foco nos resultados;Habilidades de comunicação com time técnico e áreas de negócio;Raciocínio lógico, estruturado e orientado a resolução de problemas;Organização e gestão das demandas sob sua responsabilidade para atendimento a cronogramas acordados;Capacidade de trabalho em equipe;Curioso e proativo.",Ewave do Brasil,CLT,Paraná,on-site
322,Analista de TI - NOC ,"Nosso cliente é uma grande empresa do seguimento ferroviário, que tem recebido diversos investimentos em tecnologia. A empresa oferece soluções de logística integrada, está presente em nove estados, com mais de 14 mil quilômetros de ferrovias e atuação direta nos principais portos do País. Por sua malha passam diariamente milhares de toneladas de produtos agrícolas destinados à exportação, além de combustíveis, contêineres e celulose.A empresa cresce constantemente e em ritmo acelerado. Somos mais de 9 mil colaboradores, compromissados em fazer a diferença, e você pode fazer parte deste grande time.Responsabilidades e atribuiçõesVocê atuará no NOC que é uma estrutura de profissionais especializados, que realiza o monitoramento proativo e a gestão dos eventos de TI. Nessa estrutura, analistas com conhecimentos focados em administração de redes, tecnologia operacional, infraestrutura de servidores e análise de negócio, realizam a monitoração dos alertas gerados pelos ativos, com o objetivo de monitorar todos ambientes produtivos, visando diminuir impactos operacionais, financeiros e de segurança.Requisitos e qualificaçõesRequisitos:Ensino Superior em Tecnologia - Completo ou CursandoConhecimentos nas área de infraestrutura - Banco de Dados, Servidores, etc.Experiências em áreas de suporte N1 ou N2, Help Desk e AtendimentoDisponibilidade para trabalhar em escala - 6x2 (24x7)Disponibilidade para mudança de escala e horário caso necessárioInformações adicionaisBenefícios Ewave p/ PJ·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Gympass·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Inglês in-company",Ewave do Brasil,CLT,Paraná,on-site
325,Analista Programador - Java Pleno,"Empresa líder tecnológica no segmento de software para controle de acesso e gestão de armazéns em grandes corporações, portos e terminais. Possui uma gestão e ambiente humanizados, incentivando o aprendizado e a inovação. Possui outras inciativas interessantes como uma Startup na área de Cidades Inteligentes.A empresa está posicionada segmentos de mercado promissores, o que potencializa o crescimento profissional dos colaboradores, pois associa o aprimoramento nas tecnologias de desenvolvimento de software diversas (Java, Angular, Spring, JPA/Hibernate, Cloud e frameworks) a um aprendizado em regras de negócio interessantes e que serão importantes nos novos produtos e valorizadas pela empresa e pelo mercado.Responsabilidades e atribuiçõesAlteração ou criação de programas em Java, Angular e Frameworks, inclusive integrações via Webservice, BD, etc;Especificação Técnica de Software, criação de documentação técnica para desenvolvimento (UML, requisitos funcionais e não funcionais, DER, DFD);Criar e atualizar documentação, manuais e procedimentos de sistemas para todas as alterações realizadas;Realizar suporte de 2º nível (interno e ao cliente, suporte remoto e atendimento por telefone) corretivo;Criar e atualizar todas as atividades no sistema de gestão de software (Run-it).Requisitos e qualificaçõesExperiência  na função de programador e/ou de analista de sistemas (desenvolvimento, especificação técnica, integrações)Conhecimento Lógica de Programação na Linguagem Java;Banco de Dados SQL Server;Especificação técnica, integrações via werbservice ou BD;Domínio de GIT;Spring;JPA / Hibernate;AngularFormaçãoSuperior completo ou cursando cursos correlatos a desenvolvimento de sistemas.Informações adicionaisModelo de Contratação: PJ.Regime de trabalho: PresencialBenefícios:Valor de R$ 226,49 já incluso na NF - equivalência ao Plano de Saúde da empresa;Valor de R$ 120,00 já incluso na NF - equivalência ao Vale-Alimentação da empresa (atrelado ao Programa Comportamento Ouro);Recesso equivalente a férias anual de 30 dias;Bom ambiente organizacional;Treinamentos necessários à função e apoio da equipe.",Ewave do Brasil,CLT,Paraná,on-site
328,Analista de Implantação de Sistemas,"A Vixting é o futuro da Admissão digital e Gestão Ocupacional do país.Com a nossa tecnologia oferecemos soluções eficazes para a rotina diária do cliente. Muito mais que medicina ocupacional, nosso propósito é o cliente, nossa base é gente!Criamos soluções estratégicas e somos apaixonados pelo maior ativo de uma companhia: pessoas! Prezamos a essência de cada ser-humano, e buscamos o fit cultural para ser a base da nossa relação. Construímos relacionamentos baseados em confiança, caráter, honestidade, ética e paixão por encantar! Somos únicos.Procuramos um Analista de implantação para dar o melhor tratamento da vida para o cliente, respondendo todas expectativas vendidas pelo time comercial e ser parceiro ao ponto de ajudar até no que fugir do escopo do cliente.Responsabilidades e atribuiçõesConduzir reuniões de kick-offTreinamento do sistema e organização de fluxo de serviços vendidos;Atendimento via canais diversos: e-mail, telefone e whatsapp;Realizar reuniões remotas;Direcionar os clientes para implementação;Desenvolver um plano de trabalho com base nos objetivos estratégicos dos seus clientes, revisando e monitorando constantemente a evolução por meio de dados;Colaborar com os processos e produtos internos, atuando como filtro e mediador entre o cliente e a Vixting.Requisitos e qualificações1.&nbsp;&nbsp;&nbsp;&nbsp;Experiência em sistemas SAAS;2.&nbsp;&nbsp;&nbsp;&nbsp;Experiência com cliente B2B de Pequeno e Médio Porte;3.&nbsp;&nbsp;&nbsp;&nbsp;Experiência com a área de tecnologia;4.&nbsp;&nbsp;&nbsp;&nbsp;Ser uma pessoa aberta para receber feedbacks e utilizá-los para processos de melhoria contínua;5.&nbsp;&nbsp;&nbsp;&nbsp;Conhecimento básico de métricas de CS e suas análises;6.&nbsp;&nbsp;&nbsp;&nbsp;Habilidade com Excel.",Vixting,CLT,São Paulo,on-site
330,Analista\Desenvolvedor Oracle Forms Pl (2º turno) ,"Que tal fazer parte de um dos principais fabricantes mundiais de caminhões pesados, de ônibus e de motores industriais e marítimos? As unidades de produção estão localizadas na Europa, América do Sul e Ásia. Ambiente de trabalho dinâmico e estimulante. Sua formação exclusiva, suas ideias e seu entusiasmo contribuirão para o sucesso dessa marca tão respeitada. Se você for altamente motivado e gostar de responsabilidade, terá oportunidade de prosperar! #VenhafazerpartedonossotimeResponsabilidades e atribuiçõesSustentação dos sistemas, executando as seguintes atividades, porém não limitadas a essas:Acompanhar e gerenciar tickets críticos abertos pelos usuários via Help Desk.Manter os tickets sempre atualizados de acordo com o SLA acordado, atualizar com o responsável que avaliará o problema e documentar com contatos realizados, causa raiz encontrada, solução aplicada, deixando transparente as ações realizadas até o seu encerramento. Caso necessário redirecionar à outras equipes;Resolvidos os incidentes críticos, analisar e tratar os demais tickets existentes na fila;Contatar o usuário para compreensão do problema relatado através das ferramentas de contato da Scania;Analisar criteriosamente dados e regras de sistemas, para identificar incidentes (erros/bugs/falhas) de possíveis dúvidas de usuários;Em caso de dúvidas sobre regras de negócio, orientar o usuário a entrar em contato com a área de negócio responsável. Outras dúvidas sobre o funcionamento da aplicação, orientar o usuário;Solucionar erros/bugs de sistemas em Oracle Forms e em rotinas de banco de dados;Implantar com cautela as soluções de incidentes em produção, seguindo os procedimentos vigentes da Scania e contatar usuário para certificar que o problema foi resolvido;Abrir tickets no portal do fornecedor e acompanhar as tratativas dos mesmos junto ao provedor de mensageria fiscal da Scania; o Utilizar o portal de monitoramento de emissão de notas fiscais e antecipar análise de possíveis erros antes da abertura de ticket pelo usuário;Conhecer o sistema e suas interfaces com os outros. Entender o processo para poder atuar rapidamente na correção dos problemas, causando baixo impacto na operação de faturamento e logística, por consequência na operação;Manter a continuidade dos serviços de TI (solução em pleno funcionamento), evitando interrupções às áreas de negócios relacionadas à produção; o Monitorar rotinas do COM / SCHEDULER (ferramentas Scania), gerenciando as mesmas e reiniciando quando necessário;Manter a base de conhecimento sobre incidentes, requests e processos atualizado, para otimizar o tempo de suporte.&nbsp;Requisitos e qualificaçõesSólidos conhecimentos em Oracle Forms e Reports;Sólidos conhecimentos em PL/SQL;Fundamento em métodos ágeis e práticas do ITIL;Experiência no entendimento de processos de negócio.Diferencial:Será um diferencial ter experiência com sistemas fiscais e logísticos o Oracle DB&nbsp;Informações adicionais(2º turno)CLT+ benefícios - VR - AM e odontológica",Ewave do Brasil,CLT,São Paulo,remote
331,Analista de Dados,"The Volvo Group is one of the world’s leading manufacturers of trucks, buses, construction equipment and marine and industrial engines. The Group also provides complete solutions for financing and service. The Volvo Group, with its headquarters in Gothenburg, employs about 100,000 people, has production facilities in 18 countries and sells its products in more than 190 markets.O Grupo Volvo é um dos principais fabricantes mundiais de caminhões, ônibus, equipamentos de construção e motores marítimos e industriais. O Grupo também oferece soluções completas de financiamento e atendimento. O Grupo Volvo, com sede em Gotemburgo, emprega cerca de 100.000 pessoas, possui instalações de produção em 18 países e vende seus produtos em mais de 190 mercados.Responsabilidades e atribuiçõesGerenciamento e entendimento dos dados (internos e externos) usando métodos e ferramentas avançadas.Buscar modelos estatísticos e algoritmos que impulsionem inovação e melhor desempenho do processo.Colaborar com engenheiros e arquitetos de dados para implementar soluções escaláveis para toda a América do Sul.Conduzir análises avançadas para fornecer percepções, identificar tendências e medir desempenho que promova a construção de demanda assertivade peças de reposição.Realizar análise crítica da demanda colaborativa enviada pelas áreas comerciais das marcas Volvo (S&amp;OE /S&amp;OP).Conduzir análises avançadas referente o gerenciamento de inventário, otimizando parâmetros do sistema (estoque de segurança e quantidade mínima de compra).Realizar análises de rebalanceamento de estoque.Definir políticas de estoque junto comas áreas correlatas (estimar lotes finais e inicias de compra de peças de acordo com demanda atual e futura).Liderar e participar de projetos de melhoria contínua.Participar de fóruns e grupos globais de planejamento de demanda e inventário.Requisitos e qualificaçõesDomínio em tecnologias baseadas em nuvem, codificação (como SQL, python, R como exemplos).Automação (VBA, RPA, etc.),visualização (PowerBI).Técnicas de aprendizagem de máquina (AI,ML, por exemplo) e ferramentas para gerenciar a quantidade de dados necessários.Graduação em ciência da computação, estatística, engenharia ou áreas afins.Fluência em inglês mandatória.Comunicação assertiva como a capacidade de explicar temas complexos em termos simples dentro e fora da área.Atitude positiva perante os desafios ,solucionador de problemas e criatividade são características importantes.Atitude de dono, liderança em projetos voltado ao cliente.Colaboração e capacidade de trabalho em equipe.Conhecimento em metodologia ágil é um diferencial, assim como gestão de demanda/estoque.Informações adicionaisPlano de previdência privada, operacionalizado pela&nbsp;Vikingprev;​Assistência médica, administrada pela Volvo (Planos VOAM para&nbsp;Curitiba/Região Metropolitana, AMIL para demais localidades) (*1) (consulte&nbsp;www.voam.com.br);​Assistência odontológica – VOAM, em rede credenciada (*1);​Auxílio-farmácia (70% de reembolso das despesas com medicamentos&nbsp;prescritos), nos termos e sujeito às alterações da política Volvo (*1);​Reembolso lentes, limitado anualmente, conforme tabela fornecida pela&nbsp;empresa (*1);​Sistema de transporte fretado para funcionários;​Estacionamentos privativos, sem custo;​Ticket alimentação, fornecido por intermédio de cartão, no valor mensal de R$&nbsp;1.100,00 (para&nbsp;VdB);​Refeitórios internos;&nbsp;Seguro de vida em grupo com cobertura de auxílio-funeral (*1);​Auxílio-doença (complementação ao&nbsp;benefício&nbsp;do INSS – 100% até 60 dias,&nbsp;90% até 365 dias).​Associação Viking,&nbsp;Gympass&nbsp;e Clube Gazeta (*1);​Para funcionárias mulheres: auxílio creche {O valor do auxílio creche para a VdB é de R$ 613,42 e para VCE é 584,21}Participação nos Lucros e&nbsp;Resultados, atrelada ao atingimento das metas e proporcional aos meses&nbsp;trabalhados. Essas são as condições do acordo coletivo, das definições globais do&nbsp;Grupo Volvo e das negociações sindicais.&nbsp;",Ewave do Brasil,CLT,Paraná,on-site
335,Analista BI,"Vem ser Ewave!Líder em produção de eletrodomésticos, nosso cliente está presente no Egito, Índia, Indonésia, Filipinas e FMCC. . A empresa conta com um centro de engenharia e pesquisa, responsável pelo lançamento de novas tecnologias que tornam os produtos das marcas cada vez mais inovadores, eficientes, econômicos e ambientalmente sustentáveis.Responsabilidades e atribuições·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Formação em Tecnologia da Informação, Sistemas de Informação ou áreas correlatas·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Forte capacidade de comunicação e habilidade para trabalhar em equipe, com experiência em apresentação e negociação com alta direção·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Conhecimento de técnicas de mineração de dados e análise estatística·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experiência comprovada como Analista de BI, utilizando o Power BI como ferramenta principal e Analysis Services·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Conhecimento avançado em Governança de Dados·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Habilidade para coletar, organizar e analisar dados financeiros·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Conhecimento de SQL e Excel avançado·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Habilidade para criar dashboards e relatórios financeiros personalizados·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Conhecimento e experiência com plataforma Power da Microsoft, incluindo Azure Cloud e Power Plataform.Requisitos e qualificações·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Conhecimento Técnico / Negócio:&nbsp;Desenvolvimento e manutenção de dashboards e relatórios financeiros utilizando o Power BI e Analysis Services·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Análise de dados financeiros para identificar tendências e oportunidades de melhoria·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Suporte a tomada de decisão gerencial com base em dados e análises·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Colaboração com equipes de Finanças e outros departamentos para coletar e integrar dados relevantes·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Criação de indicadores financeiros e KPI's para monitoramento do desempenho da empresa·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Participação em projetos de melhoria de processos e automação de relatórios financeiros·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Apresentação e negociação de resultados e insights com a alta direçãoUtilização de Azure Cloud e ferramentas de análise de dados em nuvem para garantir escalabilidade e segurança dos dados e dashboards.Características pessoais:·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Proatividade: capacidade de antecipar problemas e tomar medidas para resolvê-los antes que eles aconteçam·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Boa capacidade analítica: habilidade para analisar grandes quantidades de dados e extrair insights valiososInformações adicionaisContratação PJAtuação híbrida 3 dias no escritório e 2 home officeBase de trabalho: Headquarter Midea Carrier ABCCentro Empresarial do Aço – São Paulo/SPHorário de Trabalho : 08:00 à 17:45",Ewave do Brasil,CLT,São Paulo,on-site
338,Banco de Talentos | Analista de Dados Freelancers ,"O profissional Freelancer atuará diretamente em nossos eventos, com atividades de Análise de dados em nossas corridas.&nbsp;Buscamos um perfil apaixonado por automobilismo, comprometido, bom relacionamento, focado em resultados e que goste de desafios.Se você é esse profissional, então, venha fazer parte do nosso time!Responsabilidades e atribuiçõesPreenchimento e acompanhamento das atividades descritas em check list;Checagem de dados vitais dos veículos;Análise de dados de performance dos pilotos;Orientação da equipe para ajustes técnicos em suspensão, aerodinâmica e calibração de pneus;Organização do BOX e equipe.Requisitos e qualificaçõesFormação: Cursando Ensino Superior em Engenharia;Desejável Curso em Análise de Dados Automotivos;Habilidades em software de análise de dados - Desejáveis: Cosworth PI Toolbox - ToolsetInformações adicionaisDisponibilidade para viagens.",Porsche Cup Brasil,talent_pool,São Paulo,on-site
341,Analista de Compras / Técnicas,"Objetivo do Cargo:Desenvolvimento de novos itens, fazendo a ponte entre o fornecedor/fabrica e o cliente, através de cotações que nos levarão ao fechamento de novos negócios.Responsabilidades e atribuições- Receber cotação do cliente;- Abrir pacotes;- Analisar os dados da solicitação como: contexto comercial, descrições, desenhos técnicos e normas;- Definir a fontes (fornecedores) que serão consultados;- Disparar pacotes;- Fazer Fup nos fornecedores;- Receber e analisar a proposta dos fornecedores;- Definir a melhor fonte, baseado nos pilares de custo, lote, lead time e contexto comerciais ( necessário analise);- Elaboração de preços/ definição de margem até o limite dado pela coordenação, quaisquer assunto a cima disso consultar a coordenação;- Preencher o formulário de oferta/envio de proposta comercial;- Preparação de revisões técnicas e participação em reuniões com fornecedores e clientes;- Fazer Fup no cliente externos;- Alimentar o status do projeto;- Criação de código;- Lançamento na planilha de amostras;- Amarração de qualidade;- Cadastros: Amarração item X fornecedor, tabela fornecedor, Amarração item X cliente, solicitar cadastros tabela do cliente;- Colocação de pedido de amostras e 1º lote no fornecedor;- Providênciar as amostras para qualidade;- Colocação de pedido de amostras e 1º lote para entrega do cliente;- Acompanhar a aprovação do PPAP;- Certificar que o item está ok para repassar o atendimento para o customer Service;- Acompanhar e resolver os BO´s comerciais de vendas.Requisitos e qualificaçõesSuperior em Administração de Empresas, Logística, Economia ou áreas afins, sendo desejável pós graduação;Requisitos Mandatórios:Bons conhecimentos de Informática (Office);Domínio em negociações comerciais;Inglês entre os níveis básico a intermediário;Requisitos Desejáveis:Usuário de Sistema ERP;Experiência atuando na área de vendas e negociações comerciais;Conhecimentos em desenho técnico.Informações adicionaisBenefícios:Fretado:Cesta básica;Convênio Odontólogico;Convênio Médico;Refeição no local;Precidencia Privada;Seguro de vida;Residir de Jundiaí, Várzea Paulista e Campo Limpo Paulista.",Trabalhe conosco!,CLT,São Paulo,on-site
